,temp_diff,sal_diff,month,latitude_x,latitude_y,longitude_x,longitude_y
92,0.0,0.0,2,40.40133,40.40133,-71.351814,-71.351814
93,0.0,0.0,2,40.478207,40.478207,-70.528725,-70.528725
94,0.0,0.0,2,40.473366,40.473366,-70.85891,-70.85891
95,0.0,0.0,2,40.150913,40.150913,-71.26098,-71.26098
96,0.0,0.0,2,40.222527,40.222527,-70.76977,-70.76977
97,0.0,0.0,2,40.352123,40.352123,-70.52588,-70.52588
98,0.0,0.0,2,40.41287,40.41287,-70.692245,-70.692245
99,0.0,0.0,2,40.42507,40.42507,-68.79463,-68.79463
100,0.0,0.0,2,40.044754,40.044754,-69.69843,-69.69843
101,0.0,0.0,2,40.298763,40.298763,-69.289215,-69.289215
102,0.0,0.0,2,40.166847,40.166847,-70.19291,-70.19291
103,0.0,0.0,2,40.294537,40.294537,-70.03043,-70.03043
104,0.0,0.0,2,40.233414,40.233414,-69.78265,-69.78265
105,0.0,0.0,2,40.296474,40.296474,-69.78338,-69.78338
106,0.0,0.0,2,39.979946,39.979946,-69.94371,-69.94371
107,0.0,0.0,2,40.10992,40.10992,-68.95986,-68.95986
108,0.0,0.0,2,40.360954,40.360954,-68.465065,-68.465065
109,0.7300000000000004,0.32399999999999807,2,40.485073,40.485073,-68.13371,-68.13371
110,0.0,0.0,2,40.48619,40.48619,-68.29888,-68.29888
111,0.0,,3,40.39093,40.39093,-73.74255,-73.74255
112,0.0,,3,40.21219,40.21219,-73.48339,-73.48339
113,0.0,,3,39.362408,39.362408,-72.53508,-72.53508
114,0.0,,3,39.78701,39.78701,-73.04706,-73.04706
115,0.0,,3,39.178326,39.178326,-72.36381,-72.36381
116,0.0,,3,39.966885,39.966885,-73.303444,-73.303444
117,0.0,,3,39.6065,39.6065,-72.792,-72.792
118,0.0,0.0,3,38.771782,38.771782,-73.230576,-73.230576
119,0.0,0.0,3,39.102993,39.102993,-72.76484,-72.76484
120,0.0,0.0,3,38.71175,38.71175,-73.14656,-73.14656
121,0.0,0.0,3,39.427807,39.427807,-72.457085,-72.457085
122,0.0,0.0,3,38.908863,38.908863,-72.91595,-72.91595
123,0.0,0.0,3,38.954525,38.954525,-73.402916,-73.402916
124,0.0,0.0,3,38.369564,38.369564,-73.84761,-73.84761
125,0.0,0.0,3,39.074085,39.074085,-73.57209,-73.57209
126,0.0,0.0,3,38.57103,38.57103,-73.53997,-73.53997
127,0.0,0.0,3,38.451347,38.451347,-73.37211,-73.37211
128,0.0,0.0,3,38.359394,38.359394,-74.08709,-74.08709
129,0.0,0.0,3,38.75968,38.75968,-73.55192,-73.55192
130,0.0,0.0,3,39.08031,39.08031,-73.410736,-73.410736
131,0.0,0.0,3,38.28952,38.28952,-74.242134,-74.242134
132,0.0,0.0,3,37.594894,37.594894,-74.272095,-74.272095
133,0.0,0.0,3,37.32161,37.32161,-74.72635,-74.72635
134,0.0,0.0,3,37.26634,37.26634,-74.56445,-74.56445
135,0.0,0.0,3,37.646847,37.646847,-74.51356,-74.51356
136,0.0,0.0,3,38.108036,38.108036,-74.06956,-74.06956
137,0.0,0.0,3,35.8547,35.8547,-75.08304,-75.08304
138,0.0,0.0,3,36.99613,36.99613,-74.93744,-74.93744
139,0.0,0.0,3,36.176292,36.176292,-74.95247,-74.95247
140,0.0,0.0,3,36.803913,36.803913,-75.00087,-75.00087
141,0.0,0.0,3,37.007687,37.007687,-74.70264,-74.70264
142,0.0,0.0,3,36.11735,36.11735,-74.870346,-74.870346
143,0.0,0.0,3,36.811718,36.811718,-74.84476,-74.84476
144,0.0,0.0,3,36.309486,36.309486,-74.806915,-74.806915
145,0.0,0.0,3,36.885838,36.885838,-74.61508,-74.61508
146,0.0,0.0,3,36.04296,36.04296,-75.09754,-75.09754
147,0.0,0.0,3,35.407562,35.407562,-75.203026,-75.203026
148,0.0,0.0,3,35.144604,35.144604,-75.413,-75.413
149,0.0,0.0,3,36.13951,36.13951,-75.648636,-75.648636
150,0.0,0.0,3,36.018406,36.018406,-75.560875,-75.560875
151,0.0,0.0,3,35.123714,35.123714,-75.794624,-75.794624
152,0.0,0.0,3,35.33277,35.33277,-75.427895,-75.427895
153,0.0,0.0,3,35.771786,35.771786,-75.46318,-75.46318
154,0.0,0.0,3,35.328663,35.328663,-75.504425,-75.504425
155,0.0,0.0,3,35.658543,35.658543,-75.22245,-75.22245
156,0.0,0.0,3,36.5112,36.5112,-75.758446,-75.758446
157,0.0,0.0,3,36.57827,36.57827,-75.686226,-75.686226
158,0.0,0.0,3,36.815475,36.815475,-75.94188,-75.94188
159,0.0,0.0,3,36.331875,36.331875,-75.58717,-75.58717
160,0.0,0.0,3,36.323196,36.323196,-75.7421,-75.7421
161,0.0,0.0,3,36.260525,36.260525,-75.73669,-75.73669
162,0.0,0.0,3,36.506756,36.506756,-75.83607,-75.83607
